content_id,content,subject,sentiment_value
bjTDnVRMBQtCrUp0,收费 一瓶 198 一瓶 148   市区 跑 真心 积碳 排气管 黑黑的   油耗 13.8,油耗,0
FIsT4EtO7pivSHPA,油耗 13.6 95 油 毛 公里 全市 区,油耗,0
NCaIXYrAkb8xQPl2,油耗 10 升 加 98 号,油耗,0
SZAHDya1x47fjgor,93 改 92 97 改 95 油耗 变化 反正 感觉,油耗,0
jzHL9n375gpNdE1Y,油耗 13 以内 满意,油耗,1
EmRcpASKbULBues3,娘胎 唯一 缺点 油耗 现款 高,油耗,-1
g3yTW8RlDSUP6vCQ,你算少 16 款 2.0 油耗 13.6 全市 区 跑 2003 公里,油耗,0
aOlyCibLouVx4RvU,油性 液体 收到 重力 情况,油耗,0
lVwiDndz37WA4BfQ,跑 济南 走 青兰 高速 车少 车道 青岛 诸城 限速 120 诸城 济南 限速 100 跑 省油,油耗,1
WrBJT9eSgPUucE1f,挂 d 挡 加油 走 走 小节 熄火 挂 d 挡要 起步 加 油 油门 丢 熄火,动力,-1
XoexjlK2gSwHO48r,11 款 10.6 万 市内 平均   11 个油 高速   9.5 4AT,油耗,0
WP7ISrXOepEdqsZ1,个人感觉 开 高速 省油 不堵车 过年 时 北京 山西 陕西 方向 一路上 坡 油耗 10 返回 一路 下坡 低 2.5,油耗,0
YIHtycdSqAUD05uB,下坡 肯定 影响 总体 油耗 挺 满意,油耗,1
0V9oN2whKtF4O5qJ,2.0   平均 油耗 10   不到 四千 公里,油耗,0
9idZlGnrqwH42KuC,楼主 开车 真 省油 ！ 2.5 尊 去年 月 20 日 提车 2.1 万公里 综合 油耗 7.5 知足,油耗,1
hPoOdaTDlSnLBfWI,2.5 车子 济南 青岛 高速 全 路段 限速 80 公里 定速巡航 显示 油耗 5.8 ！ ！,油耗,0
4lpMbJuHCmeIXPVk,高 水平 ！ 大部分 高速 2.2 W 油耗 7.0 ！,油耗,-1
djk0mphFKY6f59JV,xt 8.6   感觉 显示 不准 油耗 高,油耗,0
fjKyqd0npSGmZPeU,16 款 2.5 东北 冬天 温度 低 原加 92 乙醇汽油 感觉 肉 改加 95 汽油 感觉 平均 耗油 8.2 升 冬天 综合 耗油 8.5 升,油耗,0
MJyinzIlZDWLT14R,油耗 跑 成 9.8 降,油耗,0
OIWJYXeHaumo347E,开 三百多公里 13.5 油 说起 B 格 我开 森林 CRV 途观 高 一点,油耗,0
1mCU6W4bpnHdqeIG,13 款 2.5 11 个油 飘过 个油 安安静静 跑 长途 高速 9.6 个油 油门 13 个油   这车 油门 油耗 挺大 温柔 开 油耗 确实 不高,油耗,1
FjXpx7Emi5Q4WUoA,提车 天 开 400 多公里 油耗 惊人 低,油耗,1
IHC1TMq2JQjYEOex,初看 中国 柴油 版 手动 森林 跳 外国 油耗 确实 低 路况 长途 市区 两公里 短途 油耗 点,油耗,0
WZYXyAc03nGjCTIU,09 款 手动 低油耗 升油 国道 60 时速 省油 点 柴油 汽油 省油 缘故 好羡慕 生活 荷兰 发达国家 优越感 留学 定居,油耗,0
bCfnu0MYJyshZDGI,楼主 09 款 手动 低油耗 升油 国道 60 时速 省油 点 柴油 汽油 省油 缘故 好羡慕 生活 荷兰 发达国家 优越感 留学 定居,油耗,0
3FpZILeG6cQBfjtT,2.5 豪         原加 93       现加 95   感觉 特别 差别   油耗 高 仅供参考,油耗,0
NQg1SB057xYsmpXv,高速 120   140   160 满载 情况 油耗 跑 3000 高速 好不容易 降到 8.6 8.2 8.4 之间,油耗,0
vdPqwZmS0JQ3xhFB,挡 手动 感觉 80 省油,油耗,0
vGoJPk4rwCBm2SAQ,市区 平均 20 多点 油耗 11.5,油耗,0
Q0sNvIqyX3947hx8,2.0 老森 高速 省油 时速 100 110 7.6 120 8.3,油耗,0
zj3KESwUepGMoiIk,手动 档 80 迈 省油 罡,油耗,0
GWFzZ7NtbpMTSc1l,80 60 油耗 80 只不过 80 省 速度,油耗,0
3dQcPltkrXj4YvVW,过段时间 黄   珍珠白 油漆 很难 做   业界 难题   整车,动力,-1
L8G5euqvwiYQSgVy,山东人 油耗 降到 9.6 加 98 号 加 95 号 汽油 98 号 汽油 更换 成 95 号 发现 差别,油耗,0
qplI274Y6Z5sT0gA,垃圾 石墨 烯 楼主 信 试试 噪音 提速 慢 轻微 烧 机油 油耗 高 体验 结论 脱保换 机油,油耗,-1
k4eHIUdq7PLQl8DW,车 毛病 14 年底 入 蒙迪欧 市区 油耗 高 逼 发动机 哒 哒 哒 烦死 前两天 买 电动 说明书 说 续航 220 公里 充了 电跑 三十多公里 电量 68 开,油耗,-1
8mJ4znTMhs6Icw3R,福特 发动机 耐用 油耗 高 朋友 蒙迪欧 不堵 路况 公里 一元 福特 电动车 算了吧 电动车 谱 丰田 混 动车 省心 买辆 二手 雷克萨斯 ct200 价格便宜 油耗 低 质量 买 一辆 三年 车龄 三年 质保 年 质保 外加 电池 年 20 万公里 质保 丰田 混 动车 口碑 誉满全球,油耗,-1
vRAztNshlaSWYOxd,这车 蹦蹦 嗒 嗒 估计 lz 开 车 舒适性 不错 感觉,舒适性,0
eLmSiqv06pfNr2V4,需求 米 胖子 适合 安静 舒适,舒适性,0
g8Uw2noap6TfVKhP,有时候 熄火 前 空调 制冷 压缩机 启动 压缩机 自动 启动 发出 类似 阀门 开起 那种 声音 晓得 听到 那种,舒适性,0
hpyl7WjQKofXq8dg,开 空调 默认 开打 外 循环 打开 循环 不用 开 空调 空调 控制 循环 开关 空调 显示屏 温度 信息 回绕 箭头 汽车 图标,舒适性,0
z1KFt2yo0jD4lfOc,空调 开 一档   二档   声音 风声,舒适性,-1
K0IJkXLnoN2lqu8F,2.5 雨天 开 空调 感觉 动力 不佳 油门 段 不行,动力,-1
HNxJZ0OLEd84rlwv,一部 车 唯一 亮点 合资 车 钣 金 厚度 强度 内饰 落后 棒棒糖 出风口 配置 吹 经典 早已 赶不上 时代 变化 垄断 降价 售后 保养 超过 BBA 费用 用户 望而生畏,内饰,-1
lAGJVQu3NUP5FY9M,帖子 拿手 掰 拆开 拆 特么 森林 内饰 太 松垮,内饰,-1
SKx9oLEehCB35P8V,事故 内饰 旧 ！ 回来 搞 ！ 谢谢 ！,内饰,-1
pC6e3mQ9VYKanbSE,斯巴鲁 确实 好车 内饰 做工 差,内饰,-1
YBQfz0GRclmnFXuq,这车 内饰 改改 卖得,内饰,-1
WZKCyh3kaOXA6qnV,内饰 照片 上传 速 手动 开 真 舒服,动力,1
6GXPYLv0ibIlStm1,发现 傲虎 后排 座椅 包裹 性 设计 森林 人好 一点点,内饰,-1
dTXcunlKzZbi0I14,建议 4S 弄 一整块 座椅 靠背 旁边 裂开 弄 弄不好 异响,内饰,0
98EpFfna2PSyeigo,想要 原装 电动 座椅,内饰,0
1p4rdLHQNRX6s2gk,请问 后排 座椅 靠背 角度 可调,内饰,0
h0CfHRSu6QPn7rZx,后加 腰部 支撑 支持 座椅 记忆,内饰,0
I4qsHPkuogCjyD5A,做工 细致 农用车 本色 地方 高速 噪音 腔 缝隙 贴 声音,内饰,-1
ArG74M0Vvp3ykfLl,有人 追求 安全可靠 抵达 有人 追求 比赛 刺激 需求,安全性,0
QRkdEcyW2mMIx9qC,座 GT 顶配 ACC 测试 刹 停车 森林 座 加分 多带 小朋友,安全性,0
PFIy1Q7u3kN9qWhV,舒服 别买 森林 反对 非法 改装 原厂 座椅 厂家 反复 测试 保障 外面 路边 店 货 骗钱 车祸 小命 不保 ！,配置,0
I1lbmFQTYCZxNJ5D,全时 四驱 体现 雨雪 恶劣 天气 路况 表现 日常 驾驶 抓 地力 主动 保证 底盘 表现 秒杀 同价位 车系 品牌 说 一点 不为过 真心 希望 关注 喜欢 4s店 试驾 名符其实,安全性,0
KfDzTRF8B9PrIeCO,江浙沪 一带 广东 一带 千万级 身价 老板 买 斯巴鲁 森林 傲虎 玩 平时 商务 用桥车 休闲 户外 时 斯巴鲁 低调 耐用,安全性,1
K3FJRZVdz52OrwmI,三千 转   高速 紧急情况 两 千五 市区 办法 想 距离 老要 加塞 开 冲点   6.0 油耗 是因为 那天 高速 车 时速 80 100 之间 油耗 低 120 时速 油耗 大海 之间,油耗,0
kK7A30TWjvUIhGfn,16 款 灯 力 估计 激光 大灯   左低 右 高 处于 行车,安全性,0
l5LkJnA8HUPtOBFi,车子 开 车 小毛病 安全性 百度 3.15 调查   某特断 轴致 两死,安全性,0
GKYWa2qf6IBRzPb3,出行 慢慢 开 第一 想 隧道 注意力 不太 有个 大车 隧道 里 尾灯 差点 追尾,安全性,0
lC2v7PtMHm9i6LWr,新手 建议 途观 行车 辅助 多些 新手 试驾 结论,安全性,0
imbX25NKYqQn9Cjy,只能 说用 月 感觉 森 操控 棒 卡罗 拉要 缺点 配置 内饰 挫 刹车 嘎吱 嘎吱 东西 慢慢 习惯 银子 银子 傲虎 银子 少 上森 傲虎 体面 点 内饰,安全性,0
OHvPNBLl5K7CrGq1,停下 车 刹车 重 踩 启动 启停 轻轻 刹车 启动 启停,安全性,0
IjoZ6Pn4pOhUGgSK,哥们儿 12 款 森林 2.5 车 9.7 万公里 走南闯北 青藏 进川 臧出 毛病 上个星期 换 刹车片 雨 刮 万公里 换 轮胎,安全性,0
IMcGDXgKUHeQsaZr,刹车油 更换,安全性,0
tP53vTVshQqfnpNG,刹车 软 脚感 感觉 刹 不住 踩 不信 踩 轮子 不抱 死 原厂 刹车 足够 别换 费钱,安全性,-1
RoqVnADsiyCbXfIO,噪音 做个 全车 隔音 效果 不错 刹车 软 我换 好点 刹车 皮 效果 杠杠 品牌 不错 我选 dixcel,安全性,-1
kgMeaAGu421DQOt9,噪音 做个 全车 隔音 效果 不错 刹车 软 我换 好点 刹车 皮 效果 杠杠 品牌 不错 我选 dixcel 行车 下锁 自动 升窗 一健升 窗 功能 x 宝 控件 无损 安装 合一 找个 信誉 销量 店家 店面 安装,舒适性,0
RIY2DbnfwQWm7Sgd,拉开 车距 插队 车 油门 串 刹车 肉 车多时 适合 插,安全性,0
RIY2DbnfwQWm7Sgd,拉开 车距 插队 车 油门 串 刹车 肉 车多时 适合 插,动力,0
1G5Qf3uR7r690wWO,舒适性 森林 刹车 前段 软 再往 踩 有劲,安全性,0
XcGkDUKrPmWy762t,紧急 刹车 点刹 用力 踩下去 抬起 踩下去 抬起,安全性,0
yUMsnpofZeSxdTAB,森林 轮胎 抓地力 不强 听 群友 改了 钢喉 换 刹车油 效果 轮胎 规格 抓地力 好些 换 刹车 效果 满意,安全性,-1
IYkL5tgioNwxv0P9,森 刹车 差劲 原地 试试 踩住 刹车 往下 踩 刹车踏板 慢慢 ！ 余量 ！ 狠狠 连续 踩 几脚 用力 踩下去 踏板 慢慢 我试 16 款 15 特装款 样子 ！ 特意 试 120 一脚 急刹车 ABS 起动 刹车 醉,安全性,-1
3B08G27OHjTqlkng,软 加 刹车 顶 软,安全性,-1
pQCYgyZwxLIOTb92,冰路   切记 ！ 踩 刹车 ！,安全性,0
EKVzut6NQ3LCfvOp,恩 冰雪 路面 速度 踩 刹车 下山 速度 点 车子 速度慢 本能 深 踩 刹车 听到 车子 发出 咕 咕咕 声音 刹车 断断续续 旁边 司机 说 abs 踩,安全性,0
4jktL3QVNsAgUK5I,刹车油 不用 公里 两年 一换 清理 不用 做,安全性,0
QhzwI82BLGJpHZiV,刹车片 早换 磨坏 刹车盘 麻烦,安全性,0
3ZUbWTApnl5MLGgO,没用 s 1500 发力 红灯 车 1500 感觉 抽出去 估计 车 松开 刹车 怠速 轻轻 踩油门,动力,0
F6VLsIyjDNtEH2cX,cvt 森 刹车片 貌似 价高 耐磨 万 换,安全性,-1
BaJFsDNoudehQn5M,没开 欧蓝德 小森 操控 一流 中控 太 LOW 价格 虚高 不错,操控,1
Bdftvy8lXzF4TkbC,提速 楼主 关心   建议 2.0 t   AT   2.5   CVT 组合 舒适 操控,操控,0
u5DertECskUI9ZT4,选森 追求 操控,操控,1
EAdbZq0pfMwK6SJc,操控 带来 驾驶 乐趣 机械 驾驶 操控 性能 名副其实,操控,1
8wHMRKsNLT9E1VWd,德系 欧系车 底盘 调校 扎实 操控 不错 斯巴鲁 车是 拉力赛 好手 底盘 调校 功底 弱 操控 出了名 日系 中 斯巴鲁 操控 第一,操控,1
ziqTa4OIGmtCrW5y,XT 买 情怀 价钱 买到 折 Q5 真的 爱 XT 操控 动力 高速公路 220 一点 压力,操控,0
Yxo2wXkhlq0r1PKH,轮毂 行 重量 轻 操控 灵活 圈 幅 交界 地方 藏 灰 清洗 费劲,操控,1
x2DXClJz8iPS3qOU,见议 豪华 就别 买森 操控性 安全性 性 狂野 30W 区间 进口 四驱 SUV,操控,0
gYtOp2TmJAdIB354,蝎子 胎 主打 运动 操控 舒适 运动 需求 小白 前段时间 换 轮胎 研究,操控,0
FsOyKTvuJ1QM0lSx,开惯 森林 操控性 为啥 会选 奥迪 操控性 该选 宝马 M4 豪华 大气 奔驰 E 懂,操控,0
PD3pTkBLX9Cc1ImF,斯巴鲁 操控 车 轮胎 弄 厚 影响 操控 ！ 225   60   17   米 胖子 新 gl8 配 我用 不错 转给 我换 完 喜欢 235   45   17 p7,操控,0
JGLpO2DbKewlcsQF,森林 真的 没什么 优点 内饰 垃圾 动力 不行 操控 质量 差 小毛病 关键 后期 便宜 2.5 l 尊贵 后悔 真的 不值 价,操控,-1
sVHFgE2m3ardKkMN,换 轮胎 影响 操控 性能 听说 米其林 轮胎 安逸 跑 2000 轮胎 出手 卖 原厂,操控,0
eCl6M8NqXZu92hpT,一代 cx 装配 工艺 接受 后排 座椅 家人 接受 看中 cx 操控 森林 综合 森林,操控,1
49rtaenySHxZhMwV,我家 一辆   cx5     一辆 刚买 森林 舒适性 操控 想 干嘛 cx5 全时 四驱 掉 雪 坑里 推出 钱够 2.5 cx5 2.0 森林 够用 超车 奥迪 q5 没惯 提速 一脚 抢 ！,操控,0
JW1zSrG9XR7o2wUc,试驾 员工 65 速度 过小弯 斯巴鲁 老总 体验 操控 这时候 车子 响胎 问 说 适时 四驱 车连响 胎 机会 推头 不管怎么 说 极限 操控 体现 全时 四驱 意义,操控,0
Cb3vYt60eSp58G2A,视屏 这开 斯巴鲁 开车 太 危险 操控性 斯巴鲁 完胜,操控,1
JZnc98HlVfsGIzx6,喜欢 冠道 内饰 操控 性能 没试 驾过 冠道 同价位 操控 估计 小森 舒服,操控,0
DLuv9ThOKnSxpryE,差钱 加价 途观 要四驱 性能 森林 ！ 简单,操控,0
oFrawqdRgKHkElnD,一路上 下山 20 公里 时速 森林 全时 四驱 白给 ！ 发卡 弯 陡坡 时才 X MODE 好用 丝毫 失控 感觉 值得 拥有 ！,操控,1
fesaARGNJQgn8L0l,四驱 买 手动 情怀,操控,0
mOr5aSICX29c04qj,说得对 ！ ！ 我要 换 中 缸 走 程序 ！ ！ 换上 发现 烧 机油 换 这车 跑 烂 反正 换 计算 保修期 ！ ！,动力,-1
jsvOilGJCR0K92uw,精准 数据 是从 哪来 13 款 20% 13 款 8% 厉害 ！ ！ 车主 公认 市区 开车 不烧 机油 时速 低于 100 发动机 低 转带 不烧 机油 时速 120 公里 载重 爬坡 烧 机油 令人 难以 接受 森林 发动机 设计 ！ ！,动力,0
UcIOCWa6zM3uKdpj,没准 报价 算上 保养 换 机油 机滤 钱,动力,0
buEnsOV8cjHXM9eU,烧 机油 国家 质监 总局 缺陷 产品 网,动力,-1
2FWKEjzTuk5Jv7nl,2.0     14 年 豪华 烧 机油,动力,1
KGh28TPxnEdCc5y1,现款 POLO 老车 POLO   07 款 限号 时换   换 减震 后备箱 液压 撑杆 保养 换 机油 即可   POLO   1.4   唯一 动力 弱 点 低速 噪音   没什么,动力,0
CTp1rBDsXxthPy97,换 每次 节气门 脏 一塌糊涂 机油 乌黑 发亮   感觉 国内 空气 油品 6000 7000 保养 及时发现,动力,0
WVeUdxirZmvSEbGy,城市 一辆 烧 机油 森林 算不算 运气,动力,0
zGdSonYPEBQ3p6D0,11 12 烧 机油 1500 高速 一升 市区 烧 机油,动力,-1
nqhdZVDGmpQOazYy,2T 不烧 机油 一万,动力,1
9tPwokbRgflTUL53,好像 中招 5000 公里 保养 少 升   量 黄灯 0w20 机油 14 年 月 买 2.5 豪华 导航 版 不到 万公里 郁闷,动力,-1
1TEDshcBq8y2pwbL,加 92 95 区别   拉开 点车 慢慢   三包 期 4S店 白桶 机油 出保 自由选择,动力,0
cBwmyXSZ6A3Er5Cz,2.5 发动机 坛子 里 烧 机油 太 中招,动力,0
upLn9YarBK3qEmDo,2.5 2.0 烧 机油,动力,0
NlQcbqxeEG5zp09B,真 小森烧 机油 起码,动力,0
VsSmkFZxyz3E2L8R,纠结 斯巴鲁 烧不烧 机油 斯巴鲁 有太多 与众不同 特性 体会 7500 公里 消耗 0.3 升 机油 大众 好太多 朋友 大众 走 600 公里 高速 加 0.8 升,动力,0
u7H6waWEIJT2GOVS,2.5 我怕 烧 机油 打算 2.0 时尚,动力,0
AeCLs2QfB5nmrG93,4S 开 机油 机滤 5.5 L 说 开 4.8 L 说 肯定 开 5L 5L 加完 超 上线 郁闷 ！ 还开 倒 轮胎 一看 收费 算了 搞 钱 ！ 还开 清洗 发动机 做 影响 质保 做 1W 公里 清洗 发动机 机油 得烂 程度 ！,动力,0
NBhb1GrJ37yi4Kal,16 款不烧 机油 保证 5000 保养,动力,0
